"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","over votes","under votes"
318,"State Representative District 70 (Vote For 1)","Myra Matejka","LIB",2764,22.58,154556,102448,1,1,"8","2048"
319,"State Representative District 70 (Vote For 1)","Write-in","",113,0.92,154556,102448,1,1,"8","2048"
320,"State Representative District 71 (Vote For 1)","James Perez","REP",4172,41.52,25233,14726,1,1,"0","0"
321,"State Representative District 71 (Vote For 1)","Mark Smith","DEM",5868,58.40,25233,14726,1,1,"0","0"
322,"State Representative District 71 (Vote For 1)","Write-in","",8,0.08,25233,14726,1,1,"0","0"
323,"State Representative District 72 (Vote For 1)","Dean Fisher","REP",7708,59.46,125555,75561,3,3,"1","42"
324,"State Representative District 72 (Vote For 1)","Mindy Benson","DEM",5243,40.44,125555,75561,3,3,"1","42"
325,"State Representative District 72 (Vote For 1)","Write-in","",13,0.10,125555,75561,3,3,"1","42"
326,"State Representative District 73 (Vote For 1)","Bobby Kaufmann","REP",8004,55.71,44061,91528,3,3,"0","0"
327,"State Representative District 73 (Vote For 1)","Jodi Clemens","DEM",6349,44.19,44061,91528,3,3,"0","0"
328,"State Representative District 73 (Vote For 1)","Write-in","",13,0.09,44061,91528,3,3,"0","0"
329,"State Representative District 74 (Vote For 1)","Dave Jacoby","DEM",12514,98.09,7311,68262,1,1,"1","2494"
330,"State Representative District 74 (Vote For 1)","Write-in","",244,1.91,7311,68262,1,1,"1","2494"
331,"State Representative District 75 (Vote For 1)","Thomas Gerhold","REP",7904,60.02,30194,19379,2,2,"0","0"
332,"State Representative District 75 (Vote For 1)","Paula Denison","DEM",4918,37.34,30194,19379,2,2,"0","0"
333,"State Representative District 75 (Vote For 1)","John George","LIB",342,2.60,30194,19379,2,2,"0","0"
334,"State Representative District 75 (Vote For 1)","Write-in","",6,0.05,30194,19379,2,2,"0","0"
335,"State Representative District 76 (Vote For 1)","David Maxwell","REP",8068,58.41,26742,16046,2,2,"0","0"
336,"State Representative District 76 (Vote For 1)","Ann Egley","DEM",5731,41.49,26742,16046,2,2,"0","0"
337,"State Representative District 76 (Vote For 1)","Write-in","",13,0.09,26742,16046,2,2,"0","0"
338,"State Representative District 77 (Vote For 1)","Amy Nielsen","DEM",12330,96.49,7311,68262,1,1,"0","4209"
339,"State Representative District 77 (Vote For 1)","Write-in","",448,3.51,7311,68262,1,1,"0","4209"
340,"State Representative District 78 (Vote For 1)","Jarad Klein","REP",7766,63.91,21883,13331,2,2,"0","0"
341,"State Representative District 78 (Vote For 1)","Kimberly K. Davis","DEM",4369,35.96,21883,13331,2,2,"0","0"
342,"State Representative District 78 (Vote For 1)","Write-in","",16,0.13,21883,13331,2,2,"0","0"
343,"State Representative District 79 (Vote For 1)","Dustin D. Hite","REP",9186,72.93,38739,23738,2,2,"0","0"
344,"State Representative District 79 (Vote For 1)","Samantha Keith","DEM",2978,23.64,38739,23738,2,2,"0","0"
345,"State Representative District 79 (Vote For 1)","Nicholas Ryan","LIB",427,3.39,38739,23738,2,2,"0","0"
346,"State Representative District 79 (Vote For 1)","Write-in","",5,0.04,38739,23738,2,2,"0","0"
347,"State Representative District 80 (Vote For 1)","Holly Brink","REP",7630,63.40,47100,29095,4,4,"0","0"
348,"State Representative District 80 (Vote For 1)","Susan McDanel","DEM",4391,36.49,47100,29095,4,4,"0","0"
349,"State Representative District 80 (Vote For 1)","Write-in","",13,0.11,47100,29095,4,4,"0","0"
350,"State Representative District 81 (Vote For 1)","Cherielynn Westrich","REP",4501,45.55,22126,12174,1,1,"3","194"
351,"State Representative District 81 (Vote For 1)","Mary Gaskill","DEM",5372,54.36,22126,12174,1,1,"3","194"
352,"State Representative District 81 (Vote For 1)","Write-in","",9,0.09,22126,12174,1,1,"3","194"
353,"State Representative District 82 (Vote For 1)","Jeff Shipley","REP",6120,50.08,20237,13262,3,3,"0","0"
354,"State Representative District 82 (Vote For 1)","Phil Miller","DEM",6083,49.78,20237,13262,3,3,"0","0"
355,"State Representative District 82 (Vote For 1)","Write-in","",17,0.14,20237,13262,3,3,"0","0"
356,"State Representative District 83 (Vote For 1)","Jeffrey D. Reichman","REP",4705,45.80,23612,12689,1,1,"1","99"
357,"State Representative District 83 (Vote For 1)","Jeff Kurtz","DEM",5552,54.04,23612,12689,1,1,"1","99"
358,"State Representative District 83 (Vote For 1)","Write-in","",17,0.17,23612,12689,1,1,"1","99"
359,"State Representative District 84 (Vote For 1)","Joe Mitchell","REP",6982,61.91,62861,36567,4,4,"0","0"
360,"State Representative District 84 (Vote For 1)","Jason Moats","DEM",4289,38.03,62861,36567,4,4,"0","0"
361,"State Representative District 84 (Vote For 1)","Write-in","",7,0.06,62861,36567,4,4,"0","0"
362,"State Representative District 85 (Vote For 1)","Vicki Lensing","DEM",14183,98.51,7311,68262,1,1,"0","2153"
363,"State Representative District 85 (Vote For 1)","Write-in","",214,1.49,7311,68262,1,1,"0","2153"
364,"State Representative District 86 (Vote For 1)","Mary Mascher","DEM",11900,98.29,7311,68262,1,1,"2","2005"
365,"State Representative District 86 (Vote For 1)","Write-in","",207,1.71,7311,68262,1,1,"2","2005"
366,"State Representative District 87 (Vote For 1)","Tim Goodwin","REP",4596,43.31,28184,15251,1,1,"0","0"
367,"State Representative District 87 (Vote For 1)","Dennis M. Cohoon","DEM",6010,56.63,28184,15251,1,1,"0","0"
368,"State Representative District 87 (Vote For 1)","Write-in","",7,0.07,28184,15251,1,1,"0","0"
369,"State Representative District 88 (Vote For 1)","David Kerr","REP",6279,54.79,63545,34216,3,3,"0","0"
370,"State Representative District 88 (Vote For 1)","Lanny Hillyard","DEM",4965,43.32,63545,34216,3,3,"0","0"
371,"State Representative District 88 (Vote For 1)","Corey Gingerich","",214,1.87,63545,34216,3,3,"0","0"
372,"State Representative District 88 (Vote For 1)","Write-in","",3,0.03,63545,34216,3,3,"0","0"
373,"State Representative District 89 (Vote For 1)","Monica Kurth","DEM",8261,96.02,127185,69543,1,1,"2","2862"
374,"State Representative District 89 (Vote For 1)","Write-in","",342,3.98,127185,69543,1,1,"2","2862"
375,"State Representative District 90 (Vote For 1)","Cindy Winckler","DEM",6135,96.10,127185,69543,1,1,"1","1747"
376,"State Representative District 90 (Vote For 1)","Write-in","",249,3.90,127185,69543,1,1,"1","1747"
377,"State Representative District 91 (Vote For 1)","Gary Carlson","REP",5669,53.65,28595,15111,1,1,"3","153"
378,"State Representative District 91 (Vote For 1)","Laura J. Liegois","DEM",4880,46.19,28595,15111,1,1,"3","153"
379,"State Representative District 91 (Vote For 1)","Write-in","",17,0.16,28595,15111,1,1,"3","153"
380,"State Representative District 92 (Vote For 1)","Ross Paustian","REP",6552,52.53,127185,69543,1,1,"4","215"
381,"State Representative District 92 (Vote For 1)","Jean Simpson","DEM",5911,47.39,127185,69543,1,1,"4","215"
382,"State Representative District 92 (Vote For 1)","Write-in","",10,0.08,127185,69543,1,1,"4","215"
383,"State Representative District 93 (Vote For 1)","Phyllis Thede","DEM",9660,95.23,127185,69543,1,1,"1","3702"
384,"State Representative District 93 (Vote For 1)","Write-in","",484,4.77,127185,69543,1,1,"1","3702"
385,"State Representative District 94 (Vote For 1)","Gary Mohr","REP",9226,54.90,127185,69543,1,1,"4","317"
386,"State Representative District 94 (Vote For 1)","Joan Marttila","DEM",7572,45.06,127185,69543,1,1,"4","317"
387,"State Representative District 94 (Vote For 1)","Write-in","",7,0.04,127185,69543,1,1,"4","317"
388,"State Representative District 95 (Vote For 1)","Louis J. Zumbach","REP",8227,53.89,167774,110982,2,2,"0","0"
389,"State Representative District 95 (Vote For 1)","Christian Andrews","DEM",7029,46.04,167774,110982,2,2,"0","0"
390,"State Representative District 95 (Vote For 1)","Write-in","",11,0.07,167774,110982,2,2,"0","0"
391,"State Representative District 96 (Vote For 1)","Lee Hein","REP",7721,62.42,25590,16326,2,2,"1","219"
392,"State Representative District 96 (Vote For 1)","Reenie Montgomery","DEM",4629,37.42,25590,16326,2,2,"1","219"
393,"State Representative District 96 (Vote For 1)","Write-in","",19,0.15,25590,16326,2,2,"1","219"
394,"State Representative District 97 (Vote For 1)","Norlin Mommsen","REP",7580,53.13,160429,87922,2,2,"5","109"
395,"State Representative District 97 (Vote For 1)","Tim McClimon","DEM",6322,44.32,160429,87922,2,2,"5","109"
396,"State Representative District 97 (Vote For 1)","David Melchert Jr.","LIB",359,2.52,160429,87922,2,2,"5","109"
397,"State Representative District 97 (Vote For 1)","Write-in","",5,0.04,160429,87922,2,2,"5","109"
398,"State Representative District 98 (Vote For 1)","Mary Wolfe","DEM",7614,96.15,33244,18379,1,1,"1","2245"
399,"State Representative District 98 (Vote For 1)","Write-in","",305,3.85,33244,18379,1,1,"1","2245"
400,"State Representative District 99 (Vote For 1)","Pauline Chilton","REP",5564,39.59,69711,0,1,1,"0","0"
401,"State Representative District 99 (Vote For 1)","Lindsay James","DEM",8476,60.31,69711,0,1,1,"0","0"
402,"State Representative District 99 (Vote For 1)","Write-in","",14,0.10,69711,0,1,1,"0","0"
403,"State Representative District 100 (Vote For 1)","Hank Linden","REP",4015,37.06,69711,0,1,1,"0","0"
404,"State Representative District 100 (Vote For 1)","Charles Isenhart","DEM",6799,62.76,69711,0,1,1,"0","0"
405,"State Representative District 100 (Vote For 1)","Write-in","",19,0.18,69711,0,1,1,"0","0"
406,"Court of Appeals Judge Michael R. Mullins (Vote For 1)","Yes","",707853,75.25,1845630,1291184,99,99,"0","0"
407,"Court of Appeals Judge Michael R. Mullins (Vote For 1)","No","",232844,24.75,1845630,1291184,99,99,"0","0"
408,"Court of Appeals Judge Mary Ellen Tabor (Vote For 1)","Yes","",720549,76.15,1845630,1291184,99,99,"0","0"
409,"Court of Appeals Judge Mary Ellen Tabor (Vote For 1)","No","",225736,23.85,1845630,1291184,99,99,"0","0"
410,"Court of Appeals Judge Anuradha Vaitheswaran (Vote For 1)","Yes","",652687,70.04,1845630,1291184,99,99,"0","0"
411,"Court of Appeals Judge Anuradha Vaitheswaran (Vote For 1)","No","",279208,29.96,1845630,1291184,99,99,"0","0"
412,"District 1A District Judge John J. Bauercamper (Vote For 1)","Yes","",41327,79.16,105762,31327,5,5,"0","0"
413,"District 1A District Judge John J. Bauercamper (Vote For 1)","No","",10882,20.84,105762,31327,5,5,"0","0"
414,"District 1A District Judge Thomas Bitter (Vote For 1)","Yes","",43193,79.01,105762,31327,5,5,"0","0"
415,"District 1A District Judge Thomas Bitter (Vote For 1)","No","",11476,20.99,105762,31327,5,5,"0","0"
416,"District 1A District Judge Monica Wittig (Vote For 1)","Yes","",39110,73.01,105762,31327,5,5,"0","0"
417,"District 1A District Judge Monica Wittig (Vote For 1)","No","",14456,26.99,105762,31327,5,5,"0","0"
418,"District 1B District Judge Andrea J. Dryer (Vote For 1)","Yes","",49464,80.02,137477,85009,6,6,"67","14769"
419,"District 1B District Judge Andrea J. Dryer (Vote For 1)","No","",12354,19.98,137477,85009,6,6,"67","14769"
420,"District 1B District Judge Kellyann Lekar (Vote For 1)","Yes","",48549,78.85,137477,85009,6,6,"23","14935"
421,"District 1B District Judge Kellyann Lekar (Vote For 1)","No","",13024,21.15,137477,85009,6,6,"23","14935"
422,"District 1B District Judge David F. Staudt (Vote For 1)","Yes","",46911,77.24,137477,85009,6,6,"7","15681"
423,"District 1B District Judge David F. Staudt (Vote For 1)","No","",13822,22.76,137477,85009,6,6,"7","15681"
424,"District 2A District Judge Rustin Davenport (Vote For 1)","Yes","",37054,74.28,88707,64962,9,9,"0","0"
425,"District 2A District Judge Rustin Davenport (Vote For 1)","No","",12831,25.72,88707,64962,9,9,"0","0"
426,"District 2A District Judge James M. Drew (Vote For 1)","Yes","",39820,78.09,88707,64962,9,9,"0","0"
427,"District 2A District Judge James M. Drew (Vote For 1)","No","",11174,21.91,88707,64962,9,9,"0","0"
